Quarter,Time,Tm,Detail,SFO,MIA
1.0,3:30,Dolphins,Jason Sanders 44 yard field goal,0,3
2.0,14:14,49ers,Deebo Samuel 16 yard pass from Brock Purdy (Jake Moody kick),7,3
,9:40,Dolphins,Jason Sanders 38 yard field goal,7,6
,3:20,Dolphins,Tyreek Hill 3 yard pass from Tua Tagovailoa (Jason Sanders kick),7,13
,0:47,49ers,Jake Moody 21 yard field goal,10,13
3.0,10:57,Dolphins,Jason Sanders 54 yard field goal,10,16
,1:08,Dolphins,Jason Sanders 33 yard field goal,10,19
4.0,12:02,49ers,Eric Saubert 2 yard pass from Brock Purdy (Jake Moody kick),17,19
,2:10,Dolphins,Jason Sanders 48 yard field goal,17,22
,1:36,Dolphins,De'Von Achane 50 yard rush (Jason Sanders kick),17,29
