Unnamed: 0_level_0,Unnamed: 1_level_0,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Rushing,Rushing,Rushing,Rushing,Receiving,Receiving,Receiving,Receiving,Receiving,Fumbles,Fumbles
Player,Tm,Cmp,Att,Yds,TD,Int,Sk,Yds.1,Lng,Rate,Att,Yds,TD,Lng,Tgt,Rec,Yds,TD,Lng,Fmb,FL
Sam Darnold,MIN,22,35,246,3,0,3,29,39,112.3,5,11,0,9,0,0,0,0,0,1,0
Aaron Jones,MIN,0,0,0,0,0,0,0,0,,18,67,0,14,5,3,26,0,15,0,0
Cam Akers,MIN,0,0,0,0,0,0,0,0,,1,3,0,3,0,0,0,0,0,0,0
Justin Jefferson,MIN,0,0,0,0,0,0,0,0,,0,0,0,0,13,10,144,2,39,0,0
Jordan Addison,MIN,0,0,0,0,0,0,0,0,,0,0,0,0,8,5,35,1,12,0,0
T.J. Hockenson,MIN,0,0,0,0,0,0,0,0,,0,0,0,0,5,2,27,0,19,0,0
C.J. Ham,MIN,0,0,0,0,0,0,0,0,,0,0,0,0,1,1,9,0,9,0,0
Jalen Nailor,MIN,0,0,0,0,0,0,0,0,,0,0,0,0,2,1,5,0,5,0,0
Josh Oliver,MIN,0,0,0,0,0,0,0,0,,0,0,0,0,1,0,0,0,0,0,0
,,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Rushing,Rushing,Rushing,Rushing,Receiving,Receiving,Receiving,Receiving,Receiving,Fumbles,Fumbles
Player,Tm,Cmp,Att,Yds,TD,Int,Sk,Yds,Lng,Rate,Att,Yds,TD,Lng,Tgt,Rec,Yds,TD,Lng,Fmb,FL
Geno Smith,SEA,31,43,314,3,2,2,12,25,96.5,1,8,0,8,0,0,0,0,0,0,0
Kenneth Walker III,SEA,0,0,0,0,0,0,0,0,,8,31,0,11,8,8,28,0,8,0,0
Kenny McIntosh,SEA,0,0,0,0,0,0,0,0,,3,14,0,9,1,1,15,0,15,0,0
Jaxon Smith-Njigba,SEA,0,0,0,0,0,0,0,0,,1,5,0,5,12,8,95,1,25,0,0
Julian Love,SEA,0,0,0,0,0,0,0,0,,1,2,0,2,0,0,0,0,0,0,0
D.K. Metcalf,SEA,0,0,0,0,0,0,0,0,,0,0,0,0,7,3,57,1,25,0,0
Noah Fant,SEA,0,0,0,0,0,0,0,0,,0,0,0,0,6,3,50,0,18,0,0
Tyler Lockett,SEA,0,0,0,0,0,0,0,0,,0,0,0,0,2,2,19,0,17,0,0
Pharaoh Brown,SEA,0,0,0,0,0,0,0,0,,0,0,0,0,1,1,17,0,17,0,0
AJ Barner,SEA,0,0,0,0,0,0,0,0,,0,0,0,0,2,2,13,1,9,0,0
Jake Bobo,SEA,0,0,0,0,0,0,0,0,,0,0,0,0,1,1,6,0,6,0,0
Zach Charbonnet,SEA,0,0,0,0,0,0,0,0,,1,-1,0,-1,2,2,14,0,13,0,0
