Quarter,Time,Tm,Detail,PHI,WAS
1.0,11:15,Eagles,Saquon Barkley 2 yard rush (Jake Elliott kick),7,0
,7:08,Eagles,A.J. Brown 4 yard pass from Kenny Pickett (Jake Elliott kick),14,0
,3:12,Commanders,Jamison Crowder 6 yard pass from Jayden Daniels (Zane Gonzalez kick),14,7
,2:18,Eagles,Saquon Barkley 68 yard rush (Jake Elliott kick),21,7
2.0,6:46,Commanders,Terry McLaurin 32 yard pass from Jayden Daniels (Zane Gonzalez kick),21,14
3.0,11:40,Eagles,Jake Elliott 24 yard field goal,24,14
,3:11,Eagles,Jake Elliott 40 yard field goal,27,14
4.0,13:33,Commanders,Olamide Zaccheaus 4 yard pass from Jayden Daniels (Zane Gonzalez kick),27,21
,9:06,Commanders,Olamide Zaccheaus 49 yard pass from Jayden Daniels (Zane Gonzalez kick),27,28
,3:48,Eagles,Jake Elliott 50 yard field goal,30,28
,1:58,Eagles,Jake Elliott 40 yard field goal,33,28
,0:06,Commanders,Jamison Crowder 9 yard pass from Jayden Daniels (Jeremy McNichols run),33,36
