Unnamed: 0_level_0,Unnamed: 1_level_0,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Rushing,Rushing,Rushing,Rushing,Receiving,Receiving,Receiving,Receiving,Receiving,Fumbles,Fumbles
Player,Tm,Cmp,Att,Yds,TD,Int,Sk,Yds.1,Lng,Rate,Att,Yds,TD,Lng,Tgt,Rec,Yds,TD,Lng,Fmb,FL
Geno Smith,SEA,17,23,160,0,0,3,17,23,92.7,3,19,0,16,0,0,0,0,0,2,0
Zach Charbonnet,SEA,0,0,0,0,0,0,0,0,,15,57,0,11,3,3,19,0,11,0,0
Kenny McIntosh,SEA,0,0,0,0,0,0,0,0,,7,46,0,25,0,0,0,0,0,0,0
Noah Fant,SEA,0,0,0,0,0,0,0,0,,0,0,0,0,5,4,43,0,15,0,0
D.K. Metcalf,SEA,0,0,0,0,0,0,0,0,,0,0,0,0,3,3,42,0,23,0,0
Jaxon Smith-Njigba,SEA,0,0,0,0,0,0,0,0,,0,0,0,0,6,3,32,0,19,0,0
Tyler Lockett,SEA,0,0,0,0,0,0,0,0,,0,0,0,0,4,3,20,0,15,0,0
Pharaoh Brown,SEA,0,0,0,0,0,0,0,0,,0,0,0,0,1,1,4,0,4,1,1
,,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Rushing,Rushing,Rushing,Rushing,Receiving,Receiving,Receiving,Receiving,Receiving,Fumbles,Fumbles
Player,Tm,Cmp,Att,Yds,TD,Int,Sk,Yds,Lng,Rate,Att,Yds,TD,Lng,Tgt,Rec,Yds,TD,Lng,Fmb,FL
Caleb Williams,CHI,16,28,122,0,1,7,46,24,53.0,5,37,0,16,0,0,0,0,0,1,0
D'Andre Swift,CHI,0,0,0,0,0,0,0,0,,12,53,0,12,5,4,28,0,24,0,0
D.J. Moore,CHI,0,0,0,0,0,0,0,0,,2,8,0,11,8,6,54,0,18,0,0
Roschon Johnson,CHI,0,0,0,0,0,0,0,0,,4,5,0,3,0,0,0,0,0,0,0
Keenan Allen,CHI,0,0,0,0,0,0,0,0,,0,0,0,0,8,5,25,0,16,0,0
Rome Odunze,CHI,0,0,0,0,0,0,0,0,,0,0,0,0,4,1,15,0,15,0,0
Gerald Everett,CHI,0,0,0,0,0,0,0,0,,0,0,0,0,1,0,0,0,0,0,0
