Unnamed: 0_level_0,Unnamed: 1_level_0,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Rushing,Rushing,Rushing,Rushing,Receiving,Receiving,Receiving,Receiving,Receiving,Fumbles,Fumbles
Player,Tm,Cmp,Att,Yds,TD,Int,Sk,Yds.1,Lng,Rate,Att,Yds,TD,Lng,Tgt,Rec,Yds,TD,Lng,Fmb,FL
Mason Rudolph,TEN,19,31,193,1,1,3,15,24,76.4,5,23,0,7,0,0,0,0,0,1,0
Tyjae Spears,TEN,0,0,0,0,0,0,0,0,,20,95,0,23,4,3,8,0,6,1,0
Chigoziem Okonkwo,TEN,0,0,0,0,0,0,0,0,,1,17,0,17,7,5,42,0,18,0,0
Julius Chestnut,TEN,0,0,0,0,0,0,0,0,,3,17,0,9,1,0,0,0,0,0,0
Calvin Ridley,TEN,0,0,0,0,0,0,0,0,,1,7,0,7,6,5,84,0,24,0,0
Nick Westbrook-Ikhine,TEN,0,0,0,0,0,0,0,0,,0,0,0,0,6,3,37,0,18,0,0
Tyler Boyd,TEN,0,0,0,0,0,0,0,0,,0,0,0,0,4,2,14,0,7,0,0
Nick Vannett,TEN,0,0,0,0,0,0,0,0,,0,0,0,0,1,1,8,1,8,0,0
Josh Whyle,TEN,0,0,0,0,0,0,0,0,,0,0,0,0,1,0,0,0,0,0,0
,,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Rushing,Rushing,Rushing,Rushing,Receiving,Receiving,Receiving,Receiving,Receiving,Fumbles,Fumbles
Player,Tm,Cmp,Att,Yds,TD,Int,Sk,Yds,Lng,Rate,Att,Yds,TD,Lng,Tgt,Rec,Yds,TD,Lng,Fmb,FL
Mac Jones,JAX,15,22,174,2,0,2,1,31,122.2,6,22,0,9,0,0,0,0,0,0,0
Travis Etienne,JAX,0,0,0,0,0,0,0,0,,15,49,0,15,2,1,26,0,26,0,0
Tank Bigsby,JAX,0,0,0,0,0,0,0,0,,11,33,0,7,1,0,0,0,0,0,0
Brian Thomas,JAX,0,0,0,0,0,0,0,0,,1,18,0,18,10,7,91,1,31,0,0
Parker Washington,JAX,0,0,0,0,0,0,0,0,,0,0,0,0,3,3,31,1,24,0,0
Tim Jones,JAX,0,0,0,0,0,0,0,0,,0,0,0,0,1,1,11,0,11,0,0
D'Ernest Johnson,JAX,0,0,0,0,0,0,0,0,,0,0,0,0,2,2,11,0,8,0,0
Devin Duvernay,JAX,0,0,0,0,0,0,0,0,,0,0,0,0,1,1,4,0,4,0,0
Brenton Strange,JAX,0,0,0,0,0,0,0,0,,0,0,0,0,1,0,0,0,0,0,0
