Quarter,Time,Tm,Detail,IND,NYG
1.0,3:45,Colts,Matt Gay 32 yard field goal,3,0
,1:05,Giants,Malik Nabers 31 yard pass from Drew Lock (Graham Gano kick),3,7
2.0,11:32,Giants,Darius Slayton 32 yard pass from Drew Lock (Graham Gano kick),3,14
,9:26,Colts,Matt Gay 29 yard field goal,6,14
,5:55,Giants,Wan'Dale Robinson 5 yard pass from Drew Lock (Graham Gano kick),6,21
,0:20,Colts,Jonathan Taylor 3 yard rush (Matt Gay kick),13,21
3.0,14:48,Giants,Ihmir Smith-Marsette 100 yard kickoff return (Graham Gano kick),13,28
,11:03,Colts,Jonathan Taylor 26 yard rush (Matt Gay kick),20,28
4.0,10:53,Colts,Alec Pierce 13 yard pass from Joe Flacco (pass failed),26,28
,8:39,Giants,Malik Nabers 59 yard pass from Drew Lock (Graham Gano kick),26,35
,6:38,Colts,Michael Pittman Jr. 7 yard pass from Joe Flacco (Matt Gay kick),33,35
,2:57,Giants,Drew Lock 5 yard rush (Graham Gano kick),33,42
,2:20,Giants,Graham Gano 30 yard field goal,33,45
