Quarter,Time,Tm,Detail,DET,SFO
1.0,8:37,49ers,Ricky Pearsall 3 yard pass from Brock Purdy (Jake Moody kick),0,7
,3:42,Lions,Jameson Williams 3 yard rush (Jake Bates kick failed),6,7
2.0,14:53,49ers,Kyle Juszczyk 9 yard pass from Brock Purdy (Jake Moody kick),6,14
,10:09,Lions,Jameson Williams 42 yard pass from Jared Goff (Jake Bates kick),13,14
,6:13,49ers,Brock Purdy 9 yard rush (Jake Moody kick),13,21
3.0,9:58,Lions,Sam LaPorta 6 yard pass from Jared Goff (Tim Patrick pass from Jared Goff),21,21
,7:40,49ers,Deebo Samuel 5 yard pass from Brock Purdy (Jake Moody kick),21,28
,4:25,Lions,Jake Bates 57 yard field goal,24,28
,0:19,Lions,Amon-Ra St. Brown 4 yard pass from Jared Goff (Jake Bates kick),31,28
4.0,10:29,Lions,Jake Bates 42 yard field goal,34,28
,2:58,Lions,Jahmyr Gibbs 30 yard rush (Jake Bates kick failed),40,28
,0:43,49ers,Joshua Dobbs 7 yard rush (Jake Moody kick failed),40,34
