Quarter,Time,Tm,Detail,JAX,IND
1,13:50,Colts,Alec Pierce 40 yard pass from Joe Flacco (Matt Gay kick),0,7
,8:12,Jaguars,Tank Bigsby 1 yard rush (Cam Little kick),7,7
2,14:17,Jaguars,Cam Little 53 yard field goal,10,7
,9:32,Colts,Jonathan Taylor 6 yard rush (Matt Gay kick),10,14
,3:22,Colts,Matt Gay 49 yard field goal,10,17
,1:25,Jaguars,Cam Little 28 yard field goal,13,17
,0:13,Colts,Matt Gay 36 yard field goal,13,20
4,7:50,Jaguars,Parker Washington 9 yard pass from Mac Jones (Cam Little kick),20,20
,3:52,Colts,Matt Gay 45 yard field goal,20,23
,1:44,Jaguars,Cam Little 53 yard field goal,23,23
OT,5:23,Colts,Matt Gay 38 yard field goal,23,26
