Quarter,Time,Tm,Detail,SEA,LAR
1.0,5:21,Seahawks,Jake Bobo 4 yard pass from Geno Smith (Jason Myers kick),7,0
,0:37,Rams,Joshua Karty 37 yard field goal,7,3
2.0,12:48,Seahawks,D.K. Metcalf 20 yard pass from Geno Smith (Jason Myers kick),14,3
,8:45,Rams,Tyler Higbee 6 yard pass from Jimmy Garoppolo (Joshua Karty kick),14,10
,3:21,Seahawks,Jason Myers 56 yard field goal,17,10
,0:00,Rams,Joshua Karty 58 yard field goal,17,13
3.0,7:54,Rams,Joshua Karty 57 yard field goal,17,16
,3:00,Seahawks,AJ Barner 4 yard pass from Geno Smith (Jason Myers kick),24,16
4.0,12:43,Rams,Tyler Johnson 4 yard pass from Jimmy Garoppolo (pass failed),24,22
,7:29,Rams,Joshua Karty 38 yard field goal,24,25
,3:19,Seahawks,Noah Fant 16 yard pass from Geno Smith (pass failed),30,25
